Station_ID,City,Vehicle_Type,Charging_Time,Energy_Consumed,Cost,Charging_Type
EV001,Delhi,Sedan,45.0,28.5,420.0,Normal
EV002,Mumbai,SUV,90.0,42.0,620.0,Normal
EV003,Bengaluru,Hatchback,35.0,20.0,310.0,Normal
EV004,Hyderabad,Sedan,60.0,32.5,480.0,Normal
EV005,Chennai,SUV,75.0,40.5,590.0,Normal
EV006,Pune,Hatchback,50.0,25.5,380.0,Normal
EV007,Kolkata,Sedan,65.0,34.0,500.0,Normal
EV008,Ahmedabad,SUV,80.0,41.5,610.0,Normal
EV009,Jaipur,Hatchback,30.0,18.5,290.0,Normal
EV010,Lucknow,Sedan,55.0,29.0,430.0,Normal
EV011,Delhi,SUV,95.0,45.0,670.0,Normal
EV012,Mumbai,Hatchback,40.0,22.5,340.0,Normal
EV013,Bengaluru,Sedan,70.0,36.0,530.0,Fast
EV014,Hyderabad,SUV,85.0,43.5,640.0,Normal
EV015,Chennai,Hatchback,25.0,16.5,250.0,Fast
EV016,Pune,Sedan,58.0,30.0,450.0,Normal
EV017,Kolkata,SUV,92.0,44.0,660.0,Fast
EV018,Ahmedabad,Hatchback,38.0,21.5,330.0,Normal
EV019,Jaipur,Sedan,63.0,33.0,490.0,Fast
EV020,Lucknow,SUV,78.0,40.0,600.0,Normal
EV021,Delhi,Hatchback,42.0,23.5,350.0,Fast
EV022,Mumbai,Sedan,67.0,35.5,520.0,Normal
EV023,Bengaluru,SUV,88.0,44.5,650.0,Fast
EV024,Hyderabad,Hatchback,36.0,20.5,320.0,Normal
EV025,Chennai,Sedan,62.0,32.0,470.0,Fast
EV026,Pune,SUV,82.0,42.5,630.0,Normal
EV027,Kolkata,Hatchback,33.0,19.0,300.0,Fast
EV028,Ahmedabad,Sedan,57.0,30.5,450.0,Normal
EV029,Jaipur,SUV,91.0,45.5,680.0,Fast
EV030,Lucknow,Hatchback,44.0,24.0,360.0,Normal
EV031,Delhi,Sedan,66.0,34.5,510.0,Fast
EV032,Mumbai,SUV,84.0,43.0,640.0,Normal
EV033,Bengaluru,Hatchback,37.0,21.0,325.0,Fast
EV034,Hyderabad,Sedan,61.0,31.5,465.0,Normal
EV035,Chennai,SUV,79.0,41.0,605.0,Fast
EV036,Pune,Hatchback,46.0,24.5,370.0,Normal
EV037,Kolkata,Sedan,69.0,36.5,540.0,Fast
EV038,Ahmedabad,SUV,87.0,44.0,655.0,Normal
EV039,Jaipur,Hatchback,34.0,19.5,305.0,Fast
EV040,Lucknow,Sedan,59.0,31.0,455.0,Normal
EV041,Delhi,SUV,93.0,46.0,690.0,Fast
EV042,Mumbai,Hatchback,39.0,22.0,335.0,Normal
EV043,Bengaluru,Sedan,64.0,33.5,495.0,Fast
EV044,Hyderabad,SUV,81.0,42.0,620.0,Normal
EV045,Chennai,Hatchback,31.0,18.0,285.0,Fast
EV046,Pune,Sedan,56.0,29.5,440.0,Normal
EV047,Kolkata,SUV,89.0,45.0,670.0,Fast
EV048,Ahmedabad,Hatchback,41.0,23.0,345.0,Normal
EV049,Jaipur,Sedan,68.0,35.0,515.0,Fast
EV050,Lucknow,SUV,86.0,43.5,645.0,Normal
EV051,Delhi,Hatchback,43.0,24.0,355.0,Fast
EV052,Mumbai,Sedan,60.0,32.0,470.0,Normal
EV053,Bengaluru,SUV,90.0,46.0,690.0,Fast
EV054,Hyderabad,Hatchback,35.0,20.0,310.0,Normal
EV055,Chennai,Sedan,65.0,34.0,500.0,Fast
EV056,Pune,SUV,83.0,42.5,630.0,Normal
EV057,Kolkata,Hatchback,32.0,18.5,295.0,Fast
EV058,Ahmedabad,Sedan,58.0,30.5,450.0,Normal
EV059,Jaipur,SUV,92.0,45.5,680.0,Fast
EV060,Lucknow,Hatchback,45.0,24.5,365.0,Normal
EV061,Delhi,Sedan,67.0,35.5,525.0,Fast
EV062,Mumbai,SUV,85.0,43.5,645.0,Normal
EV063,Bengaluru,Hatchback,36.0,20.5,320.0,Fast
EV064,Hyderabad,Sedan,62.0,32.5,480.0,Normal
EV065,Chennai,SUV,80.0,41.5,610.0,Fast
EV066,Pune,Hatchback,47.0,25.0,375.0,Normal
EV067,Kolkata,Sedan,70.0,36.5,540.0,Fast
EV068,Ahmedabad,SUV,88.0,44.5,660.0,Normal
EV069,Jaipur,Hatchback,33.0,19.0,300.0,Fast
EV070,Lucknow,Sedan,57.0,30.0,445.0,Normal
EV071,Delhi,SUV,94.0,46.5,700.0,Fast
EV072,Mumbai,Hatchback,40.0,22.5,340.0,Normal
EV076,Pune,Sedan,55.0,29.0,430.0,Normal
EV077,Kolkata,SUV,91.0,44.0,660.0,Fast
EV078,Ahmedabad,Hatchback,38.0,21.5,-330.0,Normal
EV079,Jaipur,Sedan,63.0,33.0,490.0,Fast
EV080,Lucknow,SUV,78.0,40.0,600.0,Normal
EV081,Delhi,Hatchback,42.0,23.5,350.0,Fast
EV082,Mumbai,Sedan,67.0,35.5,520.0,Normal
EV083,Bengaluru,SUV,88.0,44.5,650.0,Fast
EV084,Hyderabad,Hatchback,36.0,20.5,320.0,Normal
EV085,Chennai,Sedan,62.0,32.0,470.0,Fast
EV086,Pune,SUV,82.0,42.5,630.0,Normal
EV087,Kolkata,Hatchback,33.0,19.0,300.0,Fast
EV088,Ahmedabad,Sedan,57.0,30.5,450.0,Normal
EV089,Jaipur,SUV,91.0,45.5,680.0,Fast
EV090,Lucknow,Hatchback,44.0,24.0,360.0,Normal
EV091,Delhi,Sedan,66.0,34.5,510.0,Fast
