Influencer,Platform,Followers,Engagement_Rate,Category
Influencer_001,Instagram,125000,4.8,Fashion
Influencer_002,YouTube,350000,6.2,Technology
Influencer_003,TikTok,500000,8.5,Entertainment
Influencer_004,Instagram,85000,5.1,Fitness
Influencer_005,YouTube,420000,7.0,Gaming
Influencer_006,Twitter,95000,3.8,News
Influencer_007,Instagram,210000,5.5,Travel
Influencer_008,TikTok,650000,9.2,Entertainment
Influencer_009,YouTube,275000,6.8,Education
Influencer_010,Instagram,180000,4.9,Food
Influencer_011,Twitter,120000,3.5,Technology
Influencer_012,YouTube,390000,7.4,Fitness
Influencer_013,TikTok,720000,8.9,Fashion
Influencer_014,Instagram,95000,4.2,Travel
Influencer_015,YouTube,510000,7.8,Gaming
Influencer_166,Instagram,230000,5.6,Food
Influencer_167,YouTube,450000,7.1,Technology
Influencer_168,TikTok,680000,8.7,Entertainment
Influencer_169,Twitter,110000,3.9,News
Influencer_170,Instagram,175000,5.0,Fitness
Influencer_171,YouTube,520000,7.5,Gaming
Influencer_172,TikTok,760000,9.0,Fashion
Influencer_173,Instagram,200000,5.3,Travel
Influencer_174,YouTube,340000,6.6,Education
Influencer_175,Twitter,90000,3.2,Technology
Influencer_176,Instagram,280000,5.8,Food
Influencer_177,TikTok,620000,8.4,Entertainment
Influencer_178,YouTube,480000,7.3,Fitness
Influencer_179,Instagram,150000,4.7,Fashion
Influencer_180,YouTube,550000,7.9,Gaming
