Movie_ID,Movie_Name,Genre,Description,Rating,Release_Year,Tokenised
1177,secret journey 1177,animation,A group of talking animals works together to save their home from danger,4.4,2008.0,group_talking_animal_work_together_save_home_danger
68,wild warrior 68,comedy,TWO ROOMMATES EXPERIENCE A SERIES OF FUNNY MISUNDERSTANDINGS AND UNEXPECTED EVENTS !!! @#$,8.8,1997.0,two_roommate_experience_series_funny_misunderstanding_unexpected_event
1331,wild signal 1331,horror,A group of friends becomes trapped in a forest where something mysterious follows them,9.7,2015.0,group_friend_becomes_trapped_forest_something_mysterious_follows
651,ancient heart 651,horror,A journalist investigates strange disappearances connected to an abandoned building 8646 ###,5.1,1993.0,journalist_investigates_strange_disappearance_connected_abandoned_building
1869,ancient dream 1869,fantasy,An ancient prophecy sends unlikely heroes on a dangerous magical journey,7.7,2019.0,ancient_prophecy_sends_unlikely_hero_dangerous_magical_journey
553,electric night 553,action,A superhero battles villains who threaten to destroy the world,3.9,2015.0,superhero_battle_villain_threaten_destroy_world
1428,frozen journey 1428,drama,A TALENTED STUDENT WORKS HARD TO OVERCOME PERSONAL AND FINANCIAL CHALLENGES !!! @#$,9.5,2003.0,talented_student_work_hard_overcome_personal_financial_challenge
1669,unknown city 1669,drama,A talented student works hard to overcome personal and financial challenges,3.0,1992.0,talented_student_work_hard_overcome_personal_financial_challenge
1575,silent adventure 1575,horror,A journalist investigates strange disappearances connected to an abandoned building,2.6,2025.0,journalist_investigates_strange_disappearance_connected_abandoned_building
1318,broken mission 1318,fantasy,An ancient prophecy sends unlikely heroes on a dangerous magical journey,2.8,2024.0,ancient_prophecy_sends_unlikely_hero_dangerous_magical_journey
495,final mission 495,drama,A teacher inspires struggling students while facing challenges in his own life,1.3,1994.0,teacher_inspires_struggling_student_facing_challenge_life
1979,golden night 1979,crime,Police officers investigate a series of robberies committed by a mysterious gang,1.8,2016.0,police_officer_investigate_series_robbery_committed_mysterious_gang
1761,electric secret 1761,romance,A musician falls in love with an artist while both struggle with their careers,6.1,2004.0,musician_fall_love_artist_struggle_career
866,last mission 866,animation,A young hero enters a magical world and discovers an unexpected power,4.1,2000.0,young_hero_enters_magical_world_discovers_unexpected_power
530,   unknown journey 530   ,animation,A young hero enters a magical world and discovers an unexpected power,5.5,1987.0,young_hero_enters_magical_world_discovers_unexpected_power
1502,unknown storm 1502,adventure,Friends follow an ancient map that leads them on an unexpected adventure,8.0,1989.0,friend_follow_ancient_map_lead_unexpected_adventure
1849,brave journey 1849, adventure ,Friends follow an ancient map that leads them on an unexpected adventure,8.0,1983.0,friend_follow_ancient_map_lead_unexpected_adventure
572,lost journey 572,action,A former soldier returns to rescue civilians from a powerful enemy,2.2,2005.0,former_soldier_return_rescue_civilian_powerful_enemy
421,brave road 421,animation,A curious child befriends a magical creature and explores a hidden kingdom,6.0,2023.0,curious_child_befriends_magical_creature_explores_hidden_kingdom
949,golden hero 949,fantasy,A prince must recover a powerful magical object before it falls into evil hands,10.0,2020.0,prince_must_recover_powerful_magical_object_fall_evil_hand
1732,secret dream 1732,drama,Two brothers confront their troubled past after returning to their hometown,5.4,2011.0,two_brother_confront_troubled_past_returning_hometown
1194,final hero 1194,crime,Police officers investigate a series of robberies committed by a mysterious gang,2.1,1981.0,police_officer_investigate_series_robbery_committed_mysterious_gang
1572,electric city 1572,comedy,A family vacation turns into a collection of ridiculous and embarrassing situations,8.4,1990.0,family_vacation_turn_collection_ridiculous_embarrassing_situation
1193,dark warrior 1193,crime,Police officers investigate a series of robberies committed by a mysterious gang,2.3,2008.0,police_officer_investigate_series_robbery_committed_mysterious_gang
584,lost story 584,comedy,A group of friends gets into hilarious trouble during a weekend trip,8.3,3025.0,group_friend_get_hilarious_trouble_weekend_trip
52,hidden mission 52,fantasy,A prince must recover a powerful magical object before it falls into evil hands,2.9,1996.0,prince_must_recover_powerful_magical_object_fall_evil_hand
1445,wild storm 1445,adventure,A GROUP OF EXPLORERS SEARCHES FOR A LEGENDARY TREASURE HIDDEN IN AN ANCIENT LAND !!! @#$,5.4,1981.0,group_explorer_search_legendary_treasure_hidden_ancient_land
1125,frozen hero 1125,horror,A woman begins seeing frightening events after finding a mysterious object,9.7,1981.0,woman_begin_seeing_frightening_event_finding_mysterious_object
30,unknown heart 30,comedy,Two roommates experience a series of funny misunderstandings and unexpected events,4.9,2013.0,two_roommate_experience_series_funny_misunderstanding_unexpected_event
480,electric road 480,animation,A curious child befriends a magical creature and explores a hidden kingdom,6.7,1991.0,curious_child_befriends_magical_creature_explores_hidden_kingdom
1375,last night 1375,comedy,A family vacation turns into a collection of ridiculous and embarrassing situations,2.3,2007.0,family_vacation_turn_collection_ridiculous_embarrassing_situation
1088,silent memory 1088,horror,A JOURNALIST INVESTIGATES STRANGE DISAPPEARANCES CONNECTED TO AN ABANDONED BUILDING !!! @#$,3.5,1996.0,journalist_investigates_strange_disappearance_connected_abandoned_building
1260,burning story 1260,drama,A teacher inspires struggling students while facing challenges in his own life,4.1,2014.0,teacher_inspires_struggling_student_facing_challenge_life
308,secret story 308,action,A police officer uncovers a conspiracy while chasing an international criminal,2.9,2019.0,police_officer_uncovers_conspiracy_chasing_international_criminal
728,burning hero 728,romance,Childhood friends reunite years later and discover feelings for each other,7.4,2002.0,childhood_friend_reunite_year_later_discover_feeling
448,wild warrior 448,romance,Childhood friends reunite years later and discover feelings for each other,2.0,1980.0,childhood_friend_reunite_year_later_discover_feeling
382,lonely planet 382,drama,A talented student works hard to overcome personal and financial challenges,7.1,2018.0,talented_student_work_hard_overcome_personal_financial_challenge
