ID,Category,Headline,Description,Cleaned_text,tokens,Stopwords_removed,Lemmantize_tokens,final_text
1,Politics,Government announces new education policy,The government introduced a new policy to improve education across the country.,the government introduced a new policy to improve education across the country,"['the', 'government', 'introduced', 'a', 'new', 'policy', 'to', 'improve', 'education', 'across', 'the', 'country']","['government', 'introduced', 'new', 'policy', 'improve', 'education', 'across', 'country']","['government', 'introduced', 'new', 'policy', 'improve', 'education', 'across', 'country']",government introduced new policy improve education across country
2,Sports,India wins the cricket match,India defeated its opponent in an exciting cricket match.,india defeated its opponent in an exciting cricket match,"['india', 'defeated', 'its', 'opponent', 'in', 'an', 'exciting', 'cricket', 'match']","['india', 'defeated', 'opponent', 'exciting', 'cricket', 'match']","['india', 'defeated', 'opponent', 'exciting', 'cricket', 'match']",india defeated opponent exciting cricket match
3,Business,Technology company reports higher profits,The company announced strong quarterly profits due to increased sales.,the company announced strong quarterly profits due to increased sales,"['the', 'company', 'announced', 'strong', 'quarterly', 'profits', 'due', 'to', 'increased', 'sales']","['company', 'announced', 'strong', 'quarterly', 'profits', 'due', 'increased', 'sales']","['company', 'announced', 'strong', 'quarterly', 'profit', 'due', 'increased', 'sale']",company announced strong quarterly profit due increased sale
4,Entertainment,New movie receives positive reviews,The latest movie has received positive reviews from audiences and critics.,the latest movie has received positive reviews from audiences and critics,"['the', 'latest', 'movie', 'has', 'received', 'positive', 'reviews', 'from', 'audiences', 'and', 'critics']","['latest', 'movie', 'received', 'positive', 'reviews', 'audiences', 'critics']","['latest', 'movie', 'received', 'positive', 'review', 'audience', 'critic']",latest movie received positive review audience critic
5,Technology,AI is changing the way people work,Artificial intelligence is helping businesses automate many daily tasks.,artificial intelligence is helping businesses automate many daily tasks,"['artificial', 'intelligence', 'is', 'helping', 'businesses', 'automate', 'many', 'daily', 'tasks']","['artificial', 'intelligence', 'helping', 'businesses', 'automate', 'many', 'daily', 'tasks']","['artificial', 'intelligence', 'helping', 'business', 'automate', 'many', 'daily', 'task']",artificial intelligence helping business automate many daily task
6,Health,Experts share tips for healthy living,Health experts recommend regular exercise and a balanced diet.,health experts recommend regular exercise and a balanced diet,"['health', 'experts', 'recommend', 'regular', 'exercise', 'and', 'a', 'balanced', 'diet']","['health', 'experts', 'recommend', 'regular', 'exercise', 'balanced', 'diet']","['health', 'expert', 'recommend', 'regular', 'exercise', 'balanced', 'diet']",health expert recommend regular exercise balanced diet
7,Sports,Football team prepares for final,The team has started intensive training before the championship final.,the team has started intensive training before the championship final,"['the', 'team', 'has', 'started', 'intensive', 'training', 'before', 'the', 'championship', 'final']","['team', 'started', 'intensive', 'training', 'championship', 'final']","['team', 'started', 'intensive', 'training', 'championship', 'final']",team started intensive training championship final
8,Politics,Parliament discusses new bill,Members of parliament discussed a new bill during the session.,members of parliament discussed a new bill during the session,"['members', 'of', 'parliament', 'discussed', 'a', 'new', 'bill', 'during', 'the', 'session']","['members', 'parliament', 'discussed', 'new', 'bill', 'session']","['member', 'parliament', 'discussed', 'new', 'bill', 'session']",member parliament discussed new bill session
9,Business,Online shopping sales increase,Online retailers reported an increase in sales during the holiday season.,online retailers reported an increase in sales during the holiday season,"['online', 'retailers', 'reported', 'an', 'increase', 'in', 'sales', 'during', 'the', 'holiday', 'season']","['online', 'retailers', 'reported', 'increase', 'sales', 'holiday', 'season']","['online', 'retailer', 'reported', 'increase', 'sale', 'holiday', 'season']",online retailer reported increase sale holiday season
10,Technology,New smartphone launched,A technology company launched a new smartphone with advanced features.,a technology company launched a new smartphone with advanced features,"['a', 'technology', 'company', 'launched', 'a', 'new', 'smartphone', 'with', 'advanced', 'features']","['technology', 'company', 'launched', 'new', 'smartphone', 'advanced', 'features']","['technology', 'company', 'launched', 'new', 'smartphone', 'advanced', 'feature']",technology company launched new smartphone advanced feature
11,Entertainment,Music festival attracts thousands,Thousands of fans attended the popular music festival.,thousands of fans attended the popular music festival,"['thousands', 'of', 'fans', 'attended', 'the', 'popular', 'music', 'festival']","['thousands', 'fans', 'attended', 'popular', 'music', 'festival']","['thousand', 'fan', 'attended', 'popular', 'music', 'festival']",thousand fan attended popular music festival
12,Health,Doctors highlight importance of sleep,Doctors say that getting enough sleep is important for good health.,doctors say that getting enough sleep is important for good health,"['doctors', 'say', 'that', 'getting', 'enough', 'sleep', 'is', 'important', 'for', 'good', 'health']","['doctors', 'say', 'getting', 'enough', 'sleep', 'important', 'good', 'health']","['doctor', 'say', 'getting', 'enough', 'sleep', 'important', 'good', 'health']",doctor say getting enough sleep important good health
13,Politics,Election campaign begins,Political parties started their campaigns ahead of the upcoming election.,political parties started their campaigns ahead of the upcoming election,"['political', 'parties', 'started', 'their', 'campaigns', 'ahead', 'of', 'the', 'upcoming', 'election']","['political', 'parties', 'started', 'campaigns', 'ahead', 'upcoming', 'election']","['political', 'party', 'started', 'campaign', 'ahead', 'upcoming', 'election']",political party started campaign ahead upcoming election
14,Sports,Athlete breaks national record,A young athlete broke the national record in a major competition.,a young athlete broke the national record in a major competition,"['a', 'young', 'athlete', 'broke', 'the', 'national', 'record', 'in', 'a', 'major', 'competition']","['young', 'athlete', 'broke', 'national', 'record', 'major', 'competition']","['young', 'athlete', 'broke', 'national', 'record', 'major', 'competition']",young athlete broke national record major competition
15,Business,Startup receives major investment,A growing startup received significant investment from several investors.,a growing startup received significant investment from several investors,"['a', 'growing', 'startup', 'received', 'significant', 'investment', 'from', 'several', 'investors']","['growing', 'startup', 'received', 'significant', 'investment', 'several', 'investors']","['growing', 'startup', 'received', 'significant', 'investment', 'several', 'investor']",growing startup received significant investment several investor
16,Technology,Researchers develop faster computer chip,Researchers announced a new chip designed to improve computer performance.,researchers announced a new chip designed to improve computer performance,"['researchers', 'announced', 'a', 'new', 'chip', 'designed', 'to', 'improve', 'computer', 'performance']","['researchers', 'announced', 'new', 'chip', 'designed', 'improve', 'computer', 'performance']","['researcher', 'announced', 'new', 'chip', 'designed', 'improve', 'computer', 'performance']",researcher announced new chip designed improve computer performance
17,Entertainment,Actor wins best performance award,The actor received an award for an outstanding performance.,the actor received an award for an outstanding performance,"['the', 'actor', 'received', 'an', 'award', 'for', 'an', 'outstanding', 'performance']","['actor', 'received', 'award', 'outstanding', 'performance']","['actor', 'received', 'award', 'outstanding', 'performance']",actor received award outstanding performance
18,Health,New campaign promotes healthy eating,A public health campaign encourages people to eat more nutritious food.,a public health campaign encourages people to eat more nutritious food,"['a', 'public', 'health', 'campaign', 'encourages', 'people', 'to', 'eat', 'more', 'nutritious', 'food']","['public', 'health', 'campaign', 'encourages', 'people', 'eat', 'nutritious', 'food']","['public', 'health', 'campaign', 'encourages', 'people', 'eat', 'nutritious', 'food']",public health campaign encourages people eat nutritious food
19,Politics,Leaders meet to discuss economic plans,Political leaders held a meeting to discuss future economic development.,political leaders held a meeting to discuss future economic development,"['political', 'leaders', 'held', 'a', 'meeting', 'to', 'discuss', 'future', 'economic', 'development']","['political', 'leaders', 'held', 'meeting', 'discuss', 'future', 'economic', 'development']","['political', 'leader', 'held', 'meeting', 'discus', 'future', 'economic', 'development']",political leader held meeting discus future economic development
20,Sports,Tennis player reaches tournament final,The player advanced to the final after winning a close semifinal.,the player advanced to the final after winning a close semifinal,"['the', 'player', 'advanced', 'to', 'the', 'final', 'after', 'winning', 'a', 'close', 'semifinal']","['player', 'advanced', 'final', 'winning', 'close', 'semifinal']","['player', 'advanced', 'final', 'winning', 'close', 'semifinal']",player advanced final winning close semifinal
