label,message
ham,"Hey, are we still meeting at 6 pm?"
spam,Congratulations! You've won a free iPhone. Click now!
ham,Can you send me the assignment?
spam,"Claim your ₹50,000 cash prize today!"
ham,Don't forget to bring your notebook.
spam,"Limited-time offer! Buy one, get one free."
ham,I'll call you after work.
spam,You have been selected for a free vacation.
ham,Happy birthday! Have a wonderful day.
spam,URGENT! Your account has been compromised. Verify now.
ham,Let's have lunch tomorrow.
spam,Earn money from home with no experience!
ham,Please share the meeting link.
spam,Exclusive deal! 90% discount ends tonight.
ham,Thanks for your help yesterday.
spam,Win a brand new car by entering this contest.
ham,I'll reach in 10 minutes.
spam,Your loan has been approved instantly.
ham,Can we reschedule our appointment?
spam,Click here to claim your reward points.
